date,fund,company,ticker,shares,value,stockPrice,weight,deltaShares,flowValue,deltaValue,deltaPrice,deltaPricePercent,deltaWeight,action
2021-10-01,ARKK,TESLA INC,TSLA,2545118.0,1973.69,775.48,0.102,-3630.0,-2.81,-17.67,-5.83,-0.0075,-0.0135,Sell
2021-10-01,ARKK,TRIMBLE INC,TRMB,1347244.0,110.81,82.25,0.0057,-1920.0,-0.16,-2.94,-2.06,-0.0244,-0.0339,Sell
2021-10-01,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,7014748.0,260.46,37.13,0.0135,-10005.0,-0.37,14.52,2.12,0.0606,0.0547,Sell
2021-10-01,ARKK,TWILIO INC - A,TWLO,2003447.0,639.2,319.05,0.033,-2855.0,-0.91,11.63,6.25,0.02,0.0123,Sell
2021-10-01,ARKK,TWIST BIOSCIENCE CORP,TWST,1572732.0,168.24,106.97,0.0087,-9020.0,-0.96,3.21,2.64,0.0253,0.0116,Sell
2021-10-01,ARKK,TWITTER INC,TWTR,7884081.0,476.12,60.39,0.0246,-11245.0,-0.68,1.85,0.32,0.0053,0.0,Sell
2021-10-01,ARKK,UIPATH INC - CLASS A,PATH,11768229.0,619.13,52.61,0.032,-16785.0,-0.88,6.31,0.61,0.0117,0.0063,Sell
2021-10-01,ARKK,UNITY SOFTWARE INC,U,7661245.0,967.23,126.25,0.05,-10925.0,-1.38,1.84,0.42,0.0033,-0.002,Sell
2021-10-01,ARKK,VERACYTE INC,VCYT,3671562.0,170.54,46.45,0.0088,-5235.0,-0.24,4.21,1.21,0.0267,0.0233,Sell
2021-10-01,ARKK,ZILLOW GROUP INC - C,Z,6757133.0,595.57,88.14,0.0308,-9635.0,-0.85,15.93,2.48,0.029,0.0233,Sell
2021-10-01,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,3302389.0,863.57,261.5,0.0446,-4710.0,-1.23,12.29,4.09,0.0159,0.009,Sell
2021-10-01,ARKQ,AEROVIRONMENT INC,AVAV,663836.0,57.3,86.32,0.023,16200.0,1.4,1.23,-0.26,-0.003,0.0314,Buy
2021-10-01,ARKQ,ARCHER AVIATION INC-A,ACHR,4813830.0,42.75,8.88,0.0171,95564.0,0.85,0.28,-0.12,-0.0133,0.0118,Buy
2021-10-01,ARKQ,DREYFUS GOVT CASH MAN INS,,6211844.4,6.21,1.0,0.0025,-3290810.19,-3.29,-3.29,0.0,0.0,-0.3421,Sell
2021-10-01,ARKQ,NXP SEMICONDUCTORS NV,NXPI,2366.0,0.46,195.87,0.0002,-32594.0,-6.38,-6.48,-2.88,-0.0145,-0.9286,Sell
2021-10-01,ARKQ,VELO3D INC,VLD,3176091.0,26.58,8.37,0.0107,3176091.0,26.58,26.58,,,,Enter
2021-10-01,ARKQ,JAWS SPITFIRE ACQUISITION-A,SPFR,0.0,0.0,,0.0,3176091.0,,-26.81,,,,Exit
2021-10-01,ARKW,2U INC,TWOU,1114139.0,37.4,33.57,0.0075,9679.0,0.32,0.52,0.18,0.0054,0.0,Buy
2021-10-01,ARKW,ADYEN NV-UNSPON ADR,ADYEY,1574992.0,44.16,28.04,0.0089,-4388.0,-0.12,-1.47,-0.85,-0.0294,-0.0326,Sell
2021-10-01,ARKW,CLOUDFLARE INC - CLASS A,NET,466636.0,52.57,112.65,0.0105,-1300.0,-0.15,-0.0,0.31,0.0028,-0.0094,Sell
2021-10-01,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,1140516.0,259.44,227.48,0.052,-3178.0,-0.72,1.79,2.2,0.0098,-0.0019,Sell
2021-10-01,ARKW,CONCORD ACQUISITION CORP -A,CND,2799532.0,28.22,10.08,0.0057,-7800.0,-0.08,-0.13,-0.02,-0.002,0.0,Sell
2021-10-01,ARKW,DOCUSIGN INC,DOCU,179799.0,46.29,257.43,0.0093,-502.0,-0.13,-0.03,0.54,0.0021,-0.0106,Sell
2021-10-01,ARKW,DRAFTKINGS INC - CL A,DKNG,3642238.0,175.41,48.16,0.0352,-10148.0,-0.49,-1.07,-0.16,-0.0033,-0.014,Sell
2021-10-01,ARKW,DREYFUS GOVT CASH MAN INS,,5255453.16,5.26,1.0,0.0011,3380275.13,3.38,3.38,0.0,0.0,1.75,Buy
2021-10-01,ARKW,ETSY INC,ETSY,361049.0,75.08,207.96,0.015,-21709.0,-4.51,-3.5,2.66,0.013,-0.0566,Sell
2021-10-01,ARKW,FARFETCH LTD-CLASS A,FTCH,1416114.0,53.08,37.48,0.0106,-3946.0,-0.15,0.68,0.58,0.0157,0.0,Sell
2021-10-01,ARKW,GENIUS SPORTS LTD,GENI,3054052.0,56.99,18.66,0.0114,-8510.0,-0.16,4.5,1.52,0.0887,0.0755,Sell
2021-10-01,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,8074432.0,273.32,33.85,0.0548,-22494.0,-0.76,13.25,1.73,0.0539,0.0438,Sell
2021-10-01,ARKW,KHOSLA VENTURES ACQUISITIO-A,KVSB,4744357.0,48.3,10.18,0.0097,-13218.0,-0.13,0.1,0.05,0.0049,0.0,Sell
2021-10-01,ARKW,LENDINGCLUB CORP,LC,4312.0,0.12,28.24,0.0,-26526.0,-0.75,-0.7,1.49,0.0557,-1.0,Sell
2021-10-01,ARKW,LIVEPERSON INC,LPSN,950194.0,56.01,58.95,0.0112,-2648.0,-0.16,0.49,0.68,0.0117,0.0,Sell
2021-10-01,ARKW,MERCADOLIBRE INC,MELI,28324.0,47.57,1679.4,0.0095,-78.0,-0.13,0.34,16.41,0.0099,0.0,Sell
2021-10-01,ARKW,NANO DIMENSION LTD - ADR,NNDM,6747161.0,38.05,5.64,0.0076,-18800.0,-0.11,0.44,0.08,0.0144,0.0,Sell
2021-10-01,ARKW,OKTA INC,OKTA,225425.0,53.5,237.34,0.0107,-628.0,-0.15,0.76,4.01,0.0172,0.0,Sell
2021-10-01,ARKW,PAGERDUTY INC,PD,1682825.0,69.7,41.42,0.014,82548.0,3.42,1.61,-1.13,-0.0266,0.0145,Buy
2021-10-01,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,5317756.0,127.84,24.04,0.0256,-14814.0,-0.36,-2.92,-0.48,-0.0196,-0.0303,Sell
