date,fund,company,ticker,shares,market value($),weight(%)
2021-09-27,ARKQ,LOCKHEED MARTIN CORP,LMT,269398.0,94159988.96,3.59
2021-09-27,ARKQ,MAGNA INTERNATIONAL INC,MGA,710419.0,54823034.23,2.09
2021-09-27,ARKQ,MARKFORGED HOLDING CORP,MKFG,8172674.0,61131601.52,2.33
2021-09-27,ARKQ,MATERIALISE NV-ADR,MTLS,1410478.0,30466324.8,1.16
2021-09-27,ARKQ,NANO DIMENSION LTD - ADR,NNDM,8948466.0,53422342.02,2.04
2021-09-27,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,2450160.0,59269370.4,2.26
2021-09-27,ARKQ,NXP SEMICONDUCTORS NV,NXPI,66233.0,14350704.11,0.55
2021-09-27,ARKQ,ORGANOVO HOLDINGS INC,ONVO ,135859.0,955088.77,0.04
2021-09-27,ARKQ,PALANTIR TECHNOLOGIES INC-A,PLTR,1071657.0,30606523.92,1.17
2021-09-27,ARKQ,PROTO LABS INC,PRLB,387921.0,27767385.18,1.06
2021-09-27,ARKQ,STRATASYS LTD,SSYS,1017986.0,22701087.8,0.87
2021-09-27,ARKQ,SYNOPSYS INC,SNPS,114457.0,36848286.58,1.4
2021-09-27,ARKQ,TELEDYNE TECHNOLOGIES INC,TDY,73178.0,31721931.22,1.21
2021-09-27,ARKQ,TERADYNE INC,TER,483754.0,57726364.82,2.2
2021-09-27,ARKQ,TESLA INC,TSLA,435940.0,337587576.6,12.87
2021-09-27,ARKQ,TRIMBLE INC,TRMB,1972413.0,172980620.1,6.59
2021-09-27,ARKQ,TUSIMPLE HOLDINGS INC - A,TSP,1849683.0,70916846.22,2.7
2021-09-27,ARKQ,UIPATH INC - CLASS A,PATH,2526643.0,133154086.1,5.08
2021-09-27,ARKQ,UNITY SOFTWARE INC,U,1185856.0,169008197.12,6.44
2021-09-27,ARKQ,VUZIX CORP,VUZI,2324670.0,26245524.3,1.0
2021-09-27,ARKW,2U INC,TWOU,1136678.0,40067899.5,0.73
2021-09-27,ARKW,ADYEN NV-UNSPON ADR,ADYEY,1625454.0,50957982.9,0.93
2021-09-27,ARKW,CLOUDFLARE INC - CLASS A,NET,481586.0,62779550.96,1.15
2021-09-27,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,1129701.0,261887285.82,4.8
2021-09-27,ARKW,CONCORD ACQUISITION CORP -A,CND,2834409.0,28655874.99,0.53
2021-09-27,ARKW,DOCUSIGN INC,DOCU,185563.0,50541794.31,0.93
2021-09-27,ARKW,DRAFTKINGS INC - CL A,DKNG,3596208.0,184593356.64,3.38
2021-09-27,ARKW,DREYFUS GOVT CASH MAN INS,,7997645.34,7997645.34,0.15
2021-09-27,ARKW,ETSY INC,ETSY,393930.0,87787300.5,1.61
2021-09-27,ARKW,FARFETCH LTD-CLASS A,FTCH,1461484.0,60213140.8,1.1
2021-09-27,ARKW,GENIUS SPORTS LTD,GENI,3072941.0,59061926.02,1.08
2021-09-27,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,8333096.0,285241876.08,5.23
2021-09-27,ARKW,KHOSLA VENTURES ACQUISITIO-A,KVSB,4896347.0,50677191.45,0.93
2021-09-27,ARKW,LENDINGCLUB CORP,LC,31741.0,894143.97,0.02
2021-09-27,ARKW,LIVEPERSON INC,LPSN,749430.0,47513862.0,0.87
2021-09-27,ARKW,MERCADOLIBRE INC,MELI,29221.0,54632166.02,1.0
2021-09-27,ARKW,NANO DIMENSION LTD - ADR,NNDM,6963319.0,41571014.43,0.76
2021-09-27,ARKW,OKTA INC,OKTA,232647.0,58959729.21,1.08
2021-09-27,ARKW,PAGERDUTY INC,PD,1560924.0,72458092.08,1.33
2021-09-27,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,5488117.0,156740621.52,2.87
2021-09-27,ARKW,PAYPAL HOLDINGS INC,PYPL,195533.0,54379682.63,1.0
2021-09-27,ARKW,PELOTON INTERACTIVE INC-A,PTON,1697451.0,157251860.64,2.88
2021-09-27,ARKW,ROBINHOOD MARKETS INC - A,HOOD,1784902.0,80159948.82,1.47
2021-09-27,ARKW,ROBLOX CORP -CLASS A,RBLX,1337742.0,111326889.24,2.04
2021-09-27,ARKW,ROKU INC,ROKU,693982.0,223385865.98,4.1
2021-09-27,ARKW,SEA LTD-ADR,SE,228328.0,77725134.48,1.42
2021-09-27,ARKW,SHOPIFY INC - CLASS A,SHOP,152202.0,219779688.0,4.03
2021-09-27,ARKW,SKILLZ INC,SKLZ,6241831.0,70969618.47,1.3
2021-09-27,ARKW,SNAP INC - A,SNAP,785108.0,65250325.88,1.2
2021-09-27,ARKW,SNOWFLAKE INC-CLASS A,SNOW,98.0,31014.06,0.0
